ID,Code,Name,Total FTEs,Total Revenue,Data Collection View,Region,Division,Industry Sector,Mapping Division,Note,Gamma,KT

1,2243,Ergon,"4291,24",2541,Total company,Australia & Oceania,Transportation & Communications & Electric & Gas & Sanitary Services,"Electric, Gas, And Sanitary Services",Transportation & Communications & Electric & Gas & Sanitary Services,,AT,0

2,2244,Energex,"3028,5",2575,Total company,Australia & Oceania,Transportation & Communications & Electric & Gas & Sanitary Services,"Electric, Gas, And Sanitary Services",Transportation & Communications & Electric & Gas & Sanitary Services,,AT,0

3,2246,Econet Wireless,1460,"532,6",Business unit/ Division: Country organization (geography),Africa,Transportation & Communications & Electric & Gas & Sanitary Services,Communications,Transportation & Communications & Electric & Gas & Sanitary Services,,AT,Saravanan Yogeswaran

4,2250,Confidential client,24000,7000,Total company,Australia & Oceania,Mining,Metal Mining,Mining,,AT,0

5,2252,"Chevron (Business Unit in Kazakhastan, taken as Total Company",7192,25000,Total company,Southeast & Central Asia,Mining,Oil And Gas Extraction,Mining,,AC,Mike Lyons

6,2256,Thermo Fisher,475,292,Business unit/ Division: Product organization,North America,Manufacturing,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Manufacturing,,VG,0

7,2262,BKK Energy,1150,3884,Total company,Western Europe,Transportation & Communications & Electric & Gas & Sanitary Services,"Electric, Gas, And Sanitary Services",Transportation & Communications & Electric & Gas & Sanitary Services,,AT,Svein Kåre Grønås

8,2263,DELTA NUTSBEDRIJVEN,1233,1931,Total company,Western Europe,Transportation & Communications & Electric & Gas & Sanitary Services,"Electric, Gas, And Sanitary Services",Transportation & Communications & Electric & Gas & Sanitary Services,,AT,Alex Rol

9,2264,Appvion,1450,810,Total company,North America,Manufacturing,Paper And Allied Products,Manufacturing,,AT,Matt Stites

10,2266,terex,20562,"7308,9",Total company,North America,Manufacturing,Industrial And Commercial Machinery And Computer Equipment,Manufacturing,,AT,0

11,2267,Konecranes,"12110,81",2011,Total company,Western Europe,Manufacturing,Industrial And Commercial Machinery And Computer Equipment,Manufacturing,,AT,0

12,2269,Kroger,431000,"85485,26",Corporate center only,North America,Retail Trade,Food Stores,Retail Trade,,AT,0

13,2271,Avianca,29068,NULL,Total company,South America,Transportation & Communications & Electric & Gas & Sanitary Services,Transportation By Air,Transportation & Communications & Electric & Gas & Sanitary Services,,AT,Bettyssabel Córdova

14,2273,Schneider Electric,138876,26640,Total company,Western Europe,Transportation & Communications & Electric & Gas & Sanitary Services,"Electric, Gas, And Sanitary Services",Transportation & Communications & Electric & Gas & Sanitary Services,"Division: Manufacturing, Industry: Electronic And Other Electrical Equipment And Components, Except Computer Equipment",AT,0

15,2276,Godrej,14907,84123,Total company,Southeast & Central Asia,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing,,AT,Harish Varadharajan

16,2277,Al Hilal bank,994,1.625.261,Total company,Middle East,Finance & Insurance & Real Estate ,Depository Institutions,Finance & Insurance & Real Estate ,,AT,0

17,2278,KSB,16416,2182,Corporate center only,Western Europe,Manufacturing,Industrial And Commercial Machinery And Computer Equipment,Manufacturing,,AT,Dominik Eisenbeis

18,2282,SITA,4500,1630,Total company,Western Europe,Transportation & Communications & Electric & Gas & Sanitary Services,Communications,Transportation & Communications & Electric & Gas & Sanitary Services,Division: ,AC,Leonardo Oliveira

19,2284,Yara,"12615,62","111897,2",Total company,Western Europe,Manufacturing,Chemicals w/o Pharma,Manufacturing,,VG,Gustav Sandborgh

20,2285,Yara,"12615,62","111897,2",Corporate center only,Western Europe,Manufacturing,Chemicals w/o Pharma,Manufacturing,,VG,Gustav Sandborgh

21,2286,Nordea,3103,369.147,Total company,Eastern Europe,Finance & Insurance & Real Estate ,Depository Institutions,Finance & Insurance & Real Estate ,,VG,Gustav Burström

22,2288,Alsea,41469,32289,Corporate center only,North America,Retail Trade,Eating And Drinking Places,Retail Trade,,AT,Patricio Servitje

23,2290,Nestle France,12555,4340,Business unit/ Division: Country organization (geography),Western Europe,Manufacturing,Food And Kindred Products,Manufacturing,,AT,Maxime Pfrimmer

24,2291,Roust,3064,NULL,Business unit/ Division: Functional organization,Eastern Europe,Manufacturing,Food And Kindred Products,Manufacturing,,AT,0

25,2293,Charles Schwabb,12500,6380,Total company,North America,Finance & Insurance & Real Estate ,"Security And Commodity Brokers, Dealers, Exchanges, And Services",Finance & Insurance & Real Estate ,,AT,Vivian Zeldis

26,2294,NPTY,"3582,57",3.226.124,Total company,North America,Manufacturing,Food And Kindred Products,Manufacturing,,AT,0

27,2295,GAP,140000,15797,Corporate center only,North America,Retail Trade,Apparel And Accessory Stores,Retail Trade,,VG,Allyson Pritchett

28,2300,Lafarge,1500,4107,Business unit/ Division: Country organization (geography),Africa,Construction,Building Construction General Contractors And Operative Builders,Construction,,AT,Yassin El Khourouj

29,2305,CarMax,21000,15150,Corporate center only,North America,Retail Trade,Automotive Dealers And Gasoline Service Stations,Retail Trade,,AT,Grace Zhang

30,2306,Japan Airlines,2084,1344711,Total company,Industrialized Asia,Transportation & Communications & Electric & Gas & Sanitary Services,Transportation By Air,Transportation & Communications & Electric & Gas & Sanitary Services,,AT,Yuta Masuda

31,2307,Comercia Financial,10000,2800,Business unit/ Division: Channel organization (distribution),North America,Finance & Insurance & Real Estate ,Depository Institutions,Finance & Insurance & Real Estate ,,AT,Tumi Akinlawon

32,2308,Synchrony Financial,"13088,36",12000,Total company,North America,Finance & Insurance & Real Estate ,Non-depository Credit Institutions,Finance & Insurance & Real Estate ,,AT,Alexander Drummond

33,2309,Urenco,1610,1825,Total company,Western Europe,Transportation & Communications & Electric & Gas & Sanitary Services,"Electric, Gas, And Sanitary Services",Transportation & Communications & Electric & Gas & Sanitary Services,,AT,Martin Ruth

34,2312,JCI - Hitachi,461,256,Business unit/ Division: Country organization (geography),South America,Manufacturing,Industrial And Commercial Machinery And Computer Equipment,Manufacturing,,VG,Raphaelli Leite

35,2313,Japan Airlines,11224,1344711,Business unit/ Division: Functional organization,Industrialized Asia,Transportation & Communications & Electric & Gas & Sanitary Services,Transportation By Air,Transportation & Communications & Electric & Gas & Sanitary Services,,AT,Masuda Yuta

36,2314,PERVAYA GRUZOVAYA COMPANY,3977,82000,Total company,Eastern Europe,Transportation & Communications & Electric & Gas & Sanitary Services,Railroad Transportation,Transportation & Communications & Electric & Gas & Sanitary Services,,AT,Marina Novak

37,2315,Chico FAS,22700,"2642,3",Corporate center only,North America,Retail Trade,Apparel And Accessory Stores,Retail Trade,,AT,Kylie Philbin

38,2317,Frontier Communications (NASDAQ FTR),29783,5576,Total company,North America,Transportation & Communications & Electric & Gas & Sanitary Services,Communications,Transportation & Communications & Electric & Gas & Sanitary Services,,AT,Eric Boernke

39,2321,Bancomer,36897,124974,Total company,North America,Finance & Insurance & Real Estate ,Depository Institutions,Finance & Insurance & Real Estate ,,AT,Marcos Sanz

40,2323,Knorr Bremse PowerTech GmbH,410,80.401,Total company,Western Europe,Manufacturing,Transportation Equipment,Manufacturing,,VG,Kilian Gersing

41,2324,Thyssen Krupp,1950,330,Business unit/ Division: Country organization (geography),Western Europe,Manufacturing,Industrial And Commercial Machinery And Computer Equipment,Manufacturing,,VG,Carlos Bitencourt

42,2326,Avery Dennison,1962,1.405.543,Business unit/ Division: Product organization,North America,Manufacturing,Paper And Allied Products,Manufacturing,,AT,Ryan Jones

43,2329,Bank Zenit,2034,6035,Total company,Eastern Europe,Finance & Insurance & Real Estate ,Depository Institutions,Finance & Insurance & Real Estate ,,AC,Andrey Ivasuik

44,2331,Leo Pharma,5231,"1062,64",Business unit/ Division: Functional organization,Western Europe,Manufacturing,Pharmaceuticals,Manufacturing,,VG,Alexandra Winther

45,2334,Sanofi - North America,"16391,5",14740,Business unit/ Division: Country organization (geography),North America,Manufacturing,Pharmaceuticals,Manufacturing,,AT,Jeremie Saiman

46,2335,Sanofi - France,26010,15700,Business unit/ Division: Country organization (geography),Western Europe,Manufacturing,Pharmaceuticals,Manufacturing,,AT,Guillaume Lemoine

47,2336,MCM Worldwide,403,511,Corporate center only,Industrialized Asia,Retail Trade,Apparel And Accessory Stores,Retail Trade,,AT,Park Shinyoung

48,2338,Telia,20280,87000,Total company,Western Europe,Transportation & Communications & Electric & Gas & Sanitary Services,Communications,Transportation & Communications & Electric & Gas & Sanitary Services,,AT,Emelie Fernstorm

49,2341,Paper BU of APP,1992,"1449,19",Total company,Industrialized Asia,Manufacturing,Paper And Allied Products,Manufacturing,,AC,Amanda Dong

50,2342,Singapore Press Holdings,"4102,5","1177,08",Total company,Industrialized Asia,Manufacturing,"Printing, Publishing, And Allied Industries",Manufacturing,,AT,Elaine Yu

51,2343,MET Metropolitan Museum,2418,"276,8",Total company,North America,Services,"Museums, Art Galleries, And Botanical And Zoological Gardens",Services,,AT,Andrew Holmberg

52,2344,Turkish Telekom,21934,15914,Total company,Eastern Europe,Transportation & Communications & Electric & Gas & Sanitary Services,Communications,Transportation & Communications & Electric & Gas & Sanitary Services,,AT,Valentia

53,2345,Smiths Group (Interconnect components+Connectors BU),1850,265,Business unit/ Division: Functional organization,Western Europe,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing,,AT,Rony Kort

54,2346,Smiths Group (Interconnect subsystems BU),350,77,Business unit/ Division: Functional organization,Western Europe,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing,,AT,Rony Kort

55,2350,OC Oerlikon,2528,480,Business unit/ Division: Product organization,Western Europe,Manufacturing,Textile Mill Products,Manufacturing,,AT,Tobias Zund

56,2351,SYNERGY GROUP CORP,20490,4400,Total company,South America,Manufacturing,Transportation By Air,Transportation & Communications & Electric & Gas & Sanitary Services,Division and Industry sector mismatch,TD,Luke Baker

